PassengerId,Ticket,A5,A4,Other,C,CA,FC,LINE,PP,PC,SC,SO,Paris,AH,O2,OQ,WC,WE
38,A./5. 2152,1,,,,,,,,,,,,,,,,
590,A./5. 3235,1,,,,,,,,,,,,,,,,
153,A.5. 11206,1,,,,,,,,,,,,,,,,
489,A.5. 18509,1,,,,,,,,,,,,,,,,
495,A/4 45380,,1,,,,,,,,,,,,,,,
566,A/4 48871,,1,,,,,,,,,,,,,,,
812,A/4 48871,,1,,,,,,,,,,,,,,,
575,A/4. 20589,,1,,,,,,,,,,,,,,,
426,A/4. 34244,,1,,,,,,,,,,,,,,,
52,A/4. 39886,,1,,,,,,,,,,,,,,,
1,A/5 21171,1,,,,,,,,,,,,,,,,
321,A/5 21172,1,,,,,,,,,,,,,,,,
228,A/5 21173,1,,,,,,,,,,,,,,,,
213,A/5 21174,1,,,,,,,,,,,,,,,,
305,A/5 2466,1,,,,,,,,,,,,,,,,
455,A/5 2817,1,,,,,,,,,,,,,,,,
669,A/5 3536,1,,,,,,,,,,,,,,,,
205,A/5 3540,1,,,,,,,,,,,,,,,,
483,A/5 3594,1,,,,,,,,,,,,,,,,
593,A/5 3902,1,,,,,,,,,,,,,,,,
284,A/5. 10482,1,,,,,,,,,,,,,,,,
422,A/5. 13032,1,,,,,,,,,,,,,,,,
13,A/5. 2151,1,,,,,,,,,,,,,,,,
254,A/5. 3336,1,,,,,,,,,,,,,,,,
618,A/5. 3336,1,,,,,,,,,,,,,,,,
133,A/5. 3337,1,,,,,,,,,,,,,,,,
154,A/5. 851,1,,,,,,,,,,,,,,,,
465,A/S 2816,,,1,,,,,,,,,,,,,,
122,A4. 54510,1,,,,,,,,,,,,,,,,
128,C 17369,,,,1,,,,,,,,,,,,,
509,C 4001,,,,1,,,,,,,,,,,,,
819,C 7075,,,,1,,,,,,,,,,,,,
366,C 7076,,,,1,,,,,,,,,,,,,
377,C 7077,,,,1,,,,,,,,,,,,,
266,C.A. 17248,,,,,1,,,,,,,,,,,,
440,C.A. 18723,,,,,1,,,,,,,,,,,,
94,C.A. 2315,,,,,1,,,,,,,,,,,,
789,C.A. 2315,,,,,1,,,,,,,,,,,,
34,C.A. 24579,,,,,1,,,,,,,,,,,,
673,C.A. 24580,,,,,1,,,,,,,,,,,,
280,C.A. 2673,,,,,1,,,,,,,,,,,,
747,C.A. 2673,,,,,1,,,,,,,,,,,,
135,C.A. 29178,,,,,1,,,,,,,,,,,,
67,C.A. 29395,,,,,1,,,,,,,,,,,,
235,C.A. 29566,,,,,1,,,,,,,,,,,,
57,C.A. 31026,,,,,1,,,,,,,,,,,,
238,C.A. 31921,,,,,1,,,,,,,,,,,,
638,C.A. 31921,,,,,1,,,,,,,,,,,,
802,C.A. 31921,,,,,1,,,,,,,,,,,,
71,C.A. 33111,,,,,1,,,,,,,,,,,,
146,C.A. 33112,,,,,1,,,,,,,,,,,,
550,C.A. 33112,,,,,1,,,,,,,,,,,,
162,C.A. 33595,,,,,1,,,,,,,,,,,,
517,C.A. 34260,,,,,1,,,,,,,,,,,,
59,C.A. 34651,,,,,1,,,,,,,,,,,,
451,C.A. 34651,,,,,1,,,,,,,,,,,,
473,C.A. 34651,,,,,1,,,,,,,,,,,,
349,C.A. 37671,,,,,1,,,,,,,,,,,,
490,C.A. 37671,,,,,1,,,,,,,,,,,,
846,C.A. 5547,,,,,1,,,,,,,,,,,,
498,C.A. 6212,,,,,1,,,,,,,,,,,,
884,C.A./SOTON 34068,,,,,1,,,,,,,,,,,,
60,CA 2144,,,,,1,,,,,,,,,,,,
72,CA 2144,,,,,1,,,,,,,,,,,,
387,CA 2144,,,,,1,,,,,,,,,,,,
481,CA 2144,,,,,1,,,,,,,,,,,,
679,CA 2144,,,,,1,,,,,,,,,,,,
684,CA 2144,,,,,1,,,,,,,,,,,,
650,CA. 2314,,,,,1,,,,,,,,,,,,
160,CA. 2343,,,,,1,,,,,,,,,,,,
181,CA. 2343,,,,,1,,,,,,,,,,,,
202,CA. 2343,,,,,1,,,,,,,,,,,,
325,CA. 2343,,,,,1,,,,,,,,,,,,
793,CA. 2343,,,,,1,,,,,,,,,,,,
847,CA. 2343,,,,,1,,,,,,,,,,,,
864,CA. 2343,,,,,1,,,,,,,,,,,,
672,F.C. 12750,,,,,,1,,,,,,,,,,,
212,F.C.C. 13528,,,,,,1,,,,,,,,,,,
315,F.C.C. 13529,,,,,,1,,,,,,,,,,,
441,F.C.C. 13529,,,,,,1,,,,,,,,,,,
536,F.C.C. 13529,,,,,,1,,,,,,,,,,,
459,F.C.C. 13531,,,,,,1,,,,,,,,,,,
155,Fa 265302,,,1,,,,,,,,,,,,,,
180,LINE,,,,,,,1,,,,,,,,,,
272,LINE,,,,,,,1,,,,,,,,,,
303,LINE,,,,,,,1,,,,,,,,,,
598,LINE,,,,,,,1,,,,,,,,,,
309,P/PP 3381,,,,,,,,1,,,,,,,,,
875,P/PP 3381,,,,,,,,1,,,,,,,,,
169,PC 17318,,,,,,,,,1,,,,,,,,
513,PC 17473,,,,,,,,,1,,,,,,,,
573,PC 17474,,,,,,,,,1,,,,,,,,
702,PC 17475,,,,,,,,,1,,,,,,,,
708,PC 17476,,,,,,,,,1,,,,,,,,
370,PC 17477,,,,,,,,,1,,,,,,,,
642,PC 17477,,,,,,,,,1,,,,,,,,
711,PC 17482,,,,,,,,,1,,,,,,,,
528,PC 17483,,,,,,,,,1,,,,,,,,
310,PC 17485,,,,,,,,,1,,,,,,,,
600,PC 17485,,,,,,,,,1,,,,,,,,
119,PC 17558,,,,,,,,,1,,,,,,,,
300,PC 17558,,,,,,,,,1,,,,,,,,
32,PC 17569,,,,,,,,,1,,,,,,,,
196,PC 17569,,,,,,,,,1,,,,,,,,
53,PC 17572,,,,,,,,,1,,,,,,,,
646,PC 17572,,,,,,,,,1,,,,,,,,
682,PC 17572,,,,,,,,,1,,,,,,,,
269,PC 17582,,,,,,,,,1,,,,,,,,
333,PC 17582,,,,,,,,,1,,,,,,,,
610,PC 17582,,,,,,,,,1,,,,,,,,
257,PC 17585,,,,,,,,,1,,,,,,,,
868,PC 17590,,,,,,,,,1,,,,,,,,
854,PC 17592,,,,,,,,,1,,,,,,,,
140,PC 17593,,,,,,,,,1,,,,,,,,
790,PC 17593,,,,,,,,,1,,,,,,,,
178,PC 17595,,,,,,,,,1,,,,,,,,
274,PC 17596,,,,,,,,,1,,,,,,,,
156,PC 17597,,,,,,,,,1,,,,,,,,
2,PC 17599,,,,,,,,,1,,,,,,,,
794,PC 17600,,,,,,,,,1,,,,,,,,
31,PC 17601,,,,,,,,,1,,,,,,,,
514,PC 17603,,,,,,,,,1,,,,,,,,
35,PC 17604,,,,,,,,,1,,,,,,,,
376,PC 17604,,,,,,,,,1,,,,,,,,
65,PC 17605,,,,,,,,,1,,,,,,,,
312,PC 17608,,,,,,,,,1,,,,,,,,
743,PC 17608,,,,,,,,,1,,,,,,,,
494,PC 17609,,,,,,,,,1,,,,,,,,
195,PC 17610,,,,,,,,,1,,,,,,,,
335,PC 17611,,,,,,,,,1,,,,,,,,
661,PC 17611,,,,,,,,,1,,,,,,,,
296,PC 17612,,,,,,,,,1,,,,,,,,
97,PC 17754,,,,,,,,,1,,,,,,,,
259,PC 17755,,,,,,,,,1,,,,,,,,
680,PC 17755,,,,,,,,,1,,,,,,,,
738,PC 17755,,,,,,,,,1,,,,,,,,
836,PC 17756,,,,,,,,,1,,,,,,,,
381,PC 17757,,,,,,,,,1,,,,,,,,
558,PC 17757,,,,,,,,,1,,,,,,,,
701,PC 17757,,,,,,,,,1,,,,,,,,
717,PC 17757,,,,,,,,,1,,,,,,,,
308,PC 17758,,,,,,,,,1,,,,,,,,
506,PC 17758,,,,,,,,,1,,,,,,,,
98,PC 17759,,,,,,,,,1,,,,,,,,
270,PC 17760,,,,,,,,,1,,,,,,,,
326,PC 17760,,,,,,,,,1,,,,,,,,
374,PC 17760,,,,,,,,,1,,,,,,,,
538,PC 17761,,,,,,,,,1,,,,,,,,
545,PC 17761,,,,,,,,,1,,,,,,,,
226,PP 4348,,,,,,,,1,,,,,,,,,
11,PP 9549,,,,,,,,1,,,,,,,,,
395,PP 9549,,,,,,,,1,,,,,,,,,
46,S.C./A.4. 23567,,1,,,,,,,,1,,,,,,,
818,S.C./PARIS 2079,,,,,,,,,,1,,,,,,,
828,S.C./PARIS 2079,,,,,,,,,,1,,,,,,,
773,S.O./P.P. 3,,,,,,,,1,,,1,,,,,,
842,S.O./P.P. 3,,,,,,,,1,,,1,,,,,,
649,S.O./P.P. 751,,,,,,,,1,,,1,,,,,,
73,S.O.C. 14879,,,,,,,,,,,1,,,,,,
121,S.O.C. 14879,,,,,,,,,,,1,,,,,,
386,S.O.C. 14879,,,,,,,,,,,1,,,,,,
656,S.O.C. 14879,,,,,,,,,,,1,,,,,,
666,S.O.C. 14879,,,,,,,,,,,1,,,,,,
151,S.O.P. 1166,,,,,,,,1,,,1,,,,,,
68,S.P. 3464,,,,,,,,1,,,,,,,,,
571,S.W./PP 752,,,,,,,,,,,,,,,,,
390,SC 1748,,,,,,,,,,1,,,,,,,
595,SC/AH 29037,,,,,,,,,,1,,,1,,,,
433,SC/AH 3085,,,,,,,,,,1,,,1,,,,
474,SC/AH Basle 541,,,,,,,,,,1,,,1,,,,
44,SC/Paris 2123,,,,,,,,,,1,,1,,,,,
609,SC/Paris 2123,,,,,,,,,,1,,1,,,,,
686,SC/Paris 2123,,,,,,,,,,1,,1,,,,,
182,SC/PARIS 2131,,,,,,,,,,1,,1,,,,,
136,SC/PARIS 2133,,,,,,,,,,1,,1,,,,,
548,SC/PARIS 2146,,,,,,,,,,1,,1,,,,,
867,SC/PARIS 2149,,,,,,,,,,1,,1,,,,,
293,SC/Paris 2163,,,,,,,,,,1,,1,,,,,
362,SC/PARIS 2167,,,,,,,,,,1,,1,,,,,
240,SCO/W 1585,,,,,,,,,,1,1,,,,,,
85,SO/C 14885,,,,,,,,,,1,1,,,,,,
612,SOTON/O.Q. 3101305,,,,,,,,,,,,,,1,,,
466,SOTON/O.Q. 3101306,,,,,,,,,,,,,,1,,,
132,SOTON/O.Q. 3101307,,,,,,,,,,,,,,1,,,
364,SOTON/O.Q. 3101310,,,,,,,,,,,,,,1,,,
211,SOTON/O.Q. 3101311,,,,,,,,,,,,,,1,,,
785,SOTON/O.Q. 3101312,,,,,,,,,,,,,,1,,,
430,SOTON/O.Q. 392078,,,,,,,,,,,,,,1,,,
565,SOTON/O.Q. 392087,,,,,,,,,,,,,,1,,,
762,SOTON/O2 3101272,,,,,,,,,,,,,,,1,,
841,SOTON/O2 3101287,,,,,,,,,,,,,,,1,,
512,SOTON/OQ 3101316,,,,,,,,,,,,,,1,,,
492,SOTON/OQ 3101317,,,,,,,,,,,,,,1,,,
885,SOTON/OQ 392076,,,,,,,,,,,,,,1,,,
564,SOTON/OQ 392082,,,,,,,,,,,,,,1,,,
88,SOTON/OQ 392086,,,,,,,,,,,,,,1,,,
221,SOTON/OQ 392089,,,,,,,,,,,,,,1,,,
158,SOTON/OQ 392090,,,,,,,,,,,,,,1,,,
415,STON/O 2. 3101269,,,,,,,,,,,,,,,1,,
591,STON/O 2. 3101273,,,,,,,,,,,,,,,1,,
434,STON/O 2. 3101274,,,,,,,,,,,,,,,1,,
244,STON/O 2. 3101275,,,,,,,,,,,,,,,1,,
174,STON/O 2. 3101280,,,,,,,,,,,,,,,1,,
665,STON/O 2. 3101285,,,,,,,,,,,,,,,1,,
580,STON/O 2. 3101286,,,,,,,,,,,,,,,1,,
745,STON/O 2. 3101288,,,,,,,,,,,,,,,1,,
401,STON/O 2. 3101289,,,,,,,,,,,,,,,1,,
637,STON/O 2. 3101292,,,,,,,,,,,,,,,1,,
383,STON/O 2. 3101293,,,,,,,,,,,,,,,1,,
116,STON/O 2. 3101294,,,,,,,,,,,,,,,1,,
730,STON/O2. 3101271,,,,,,,,,,,,,,,1,,
143,STON/O2. 3101279,,,,,,,,,,,,,,,1,,
404,STON/O2. 3101279,,,,,,,,,,,,,,,1,,
3,STON/O2. 3101282,,,,,,,,,,,,,,,1,,
217,STON/O2. 3101283,,,,,,,,,,,,,,,1,,
817,STON/O2. 3101290,,,,,,,,,,,,,,,1,,
227,SW/PP 751,,,,,,,,1,,,,,,,,,
527,W./C. 14258,,,,,,,,,,,,,,,,1,
243,W./C. 14263,,,,,,,,,,,,,,,,1,
784,W./C. 6607,,,,,,,,,,,,,,,,1,
889,W./C. 6607,,,,,,,,,,,,,,,,1,
87,W./C. 6608,,,,,,,,,,,,,,,,1,
148,W./C. 6608,,,,,,,,,,,,,,,,1,
437,W./C. 6608,,,,,,,,,,,,,,,,1,
737,W./C. 6608,,,,,,,,,,,,,,,,1,
236,W./C. 6609,,,,,,,,,,,,,,,,1,
93,W.E.P. 5734,,,,,,,,1,,,,,,,,,1
220,W/C 14208,,,,,,,,,,,,,,,,1,
541,WE/P 5735,,,,,,,,1,,,,,,,,,1
746,WE/P 5735,,,,,,,,1,,,,,,,,,1
